DD15-35	Tacoma City Manager
DD15-34	Bellingham export facility
DD15-37	snohomish high school cannon explosion
DD15-36	Rob McKenna gubernatorial candidate
DD15-31	Millionaire janitor joins school board
DD15-30	Stockbroker Richard Finger 
DD15-33	Australian Nursing Home Fire
DD15-32	Fracking's water and tremor problems
DD15-39	Kalakala ferry
DD15-38	Washington all-mail election
DD15-19	Radar Ridge wind project
DD15-18	White Supremacists in Washington State
DD15-13	Pebble Mine opposition 
DD15-12	Consolidation of Postal Centers
DD15-11	Bellingham bans plastic bags
DD15-10	Squamish Canada Land Dispute
DD15-17	Coyote Encounters in Urban and Suburban Areas
DD15-16	Duwamish tribal recognition 
DD15-15	Paul and Cathy Lee Martin
DD15-14	Enbridge-Gitsan deal controversy
DD15-22	Toronto Zoo elephant move controversy
DD15-23	Poppy Box Thievery
DD15-20	Ralph Dannenberg Puyallup
DD15-21	Nancy Wilhelm-Morden
DD15-26	Downtown Easton Missing Women
DD15-27	Rob Ford Toronto Cut The Waist
DD15-24	Survival of the Gray Wolf in Washington State
DD15-25	Chihuly Garden and Glass
DD15-28	Convicted killer Russell Williams is sued
DD15-29	Muskingum County Animal Farm
DD15-44	Runaway BNSF train 
DD15-45	occupy vancouver
DD15-46	Salmon virus
DD15-47	Sea Shepherd Conservation Society clashes with Japanese whalers
DD15-40	Shafia Canal Lock Murder Trial
DD15-41	The McCleary decision
DD15-42	Phoenix Jones Seattle
DD15-43	Zehm Case Upends Spokane County Government
DD15-48	Muckleshoot Indian Tribe
DD15-3	Victoria Stafford - murder trial of Michael Thomas Rafferty
DD15-2	Washington liquor sale privatization
DD15-1	Columbia-Snake salmon dam controversery
DD15-7	Robert Jesse Hill Tacoma
DD15-6	Spokane Tribe seeks to build casino.
DD15-5	Attawapiskat First Nation Housing Crisis
DD15-4	Bainbridge Island residents seek to lower energy use
DD15-9	Legislative redistricting in Washington State
DD15-8	Controversy surrounding Rick Hansen's appointment to Mayor of Puyallup, WA
